# Italian frequency dictionary (first 100 most common words)
il	6753105
di	5967961
e	5154533
la	3624181
in	3359729
a	3147422
che	2291283
per	1851573
un	1680380
con	1625822
è	1539402
da	1425669
le	1178587
del	1113943
non	1091672
una	1066974
si	967659
al	883188
ha	771318
dei	731263
sono	655942
più	639592
come	624565
nella	520395
essere	509422
dalla	491209
dell	463257
alla	462094
anche	453477
ma	447104
lo	434487
questo	431276
hanno	417544
tra	399886
stato	395942
cui	393460
sulla	359760
nel	350939
nella	343255
gli	338161
su	336427
quello	325680
era	313346
o	310575
perché	301378
loro	301051
quando	300891
così	299343
molto	296972
tutti	294775
casa	291845
ancora	286904
suo	283643
tempo	262442
anni	257816
può	249458
senza	245686
dal	242662
parte	242099
delle	241387
detto	240659
poi	234368
fatto	227750
questi	226954
tutto	224481
prima	220614
vita	220075
sempre	219683
sia	219673
aveva	219143
persone	218318
quindi	214911
esempio	213980
due	210982
modo	204835
essere	201534
ora	201334
quanto	200910
ogni	199922
però	198598
dove	197772
aveva	195838
ci	193877
già	191580
altri	191414
qualcosa	191256
perché	191168
cosa	190943
durante	189854
uno	188845
oggi	188791
dopo	188632
